ApeINum,ApeIAnoIni,ApeIAnoFin,ApeEtaNom,ApeIApe,ApeIHid,ApeHidPot
621,2,2,MesSep,5,53,2465.862
622,2,2,MesSep,6,37,2740.115
623,2,2,MesSep,7,48,2907.59
624,2,2,MesSep,8,51,2938.747
625,2,2,MesSep,9,26,3053.387
626,2,2,MesSep,10,14,3076.715
627,2,2,MesSep,11,29,3112.022
628,2,2,MesSep,12,27,3123.419
629,2,2,MesSep,13,1,3182.397
630,2,2,MesSep,14,17,3195.305
631,2,2,MesSep,15,11,3259.436
632,2,2,MesSep,16,3,3292.918
633,2,2,MesSep,17,5,3310.885
634,2,2,MesSep,18,16,3332.406
635,2,2,MesSep,19,15,3367.382
636,2,2,MesSep,20,8,3394.762
637,2,2,MesSep,21,24,3414.628
638,2,2,MesSep,22,28,3415.324
639,2,2,MesSep,23,7,3469.82
640,2,2,MesSep,24,6,3476.565
641,2,2,MesSep,25,52,3543.993
642,2,2,MesSep,26,10,3601.176
643,2,2,MesSep,27,44,3828.561
644,2,2,MesSep,28,25,3830.615
645,2,2,MesSep,29,30,3849.734
646,2,2,MesSep,30,22,3875.249
647,2,2,MesSep,31,12,3944.863
648,2,2,MesSep,32,21,4060.332
649,2,2,MesSep,33,4,4129.945
650,2,2,MesSep,34,45,4288.139
651,2,2,MesSep,35,33,4289.582
652,2,2,MesSep,36,46,4357.553
653,2,2,MesSep,37,47,4472.902
654,2,2,MesSep,38,42,4515.385
655,2,2,MesSep,39,32,4567.89
656,2,2,MesSep,40,41,4577.146
657,2,2,MesSep,41,40,4600.103
658,2,2,MesSep,42,34,4683.188
659,2,2,MesSep,43,50,4759.132
660,2,2,MesSep,44,49,4768.672
661,2,2,MesSep,45,31,4772.051
662,2,2,MesSep,46,2,4782.889
663,2,2,MesSep,47,13,4819.863
664,2,2,MesSep,48,19,4974.961
665,2,2,MesSep,49,20,5030.982
666,2,2,MesSep,50,18,5051.252
667,2,2,MesSep,51,35,5120.732
668,2,2,MesSep,52,43,5138.232
669,2,2,MesSep,53,55,5149.191
670,2,2,MesSep,54,36,5156.783
671,2,2,MesSep,55,23,5176.906
